Data from Subt4_12-25-19-333.txt Node,
Date: Fri Oct 29 12:25:19 BST 2021,
User: php21ajb,
Spectrometer: HR+D0521,
Trigger mode: 0,
Integration Time (sec): 1.000000E-1,
Scans to average: 100,
Electric dark correction enabled: true,
Nonlinearity correction enabled: false,
Boxcar width: 0,
XAxis mode: Wavelengths,
Number of Pixels in Spectrum: 2048,
>>>>>Begin Spectral Data<<<<<,
647.509,0.06
647.956,-0.19
648.404,1.46
648.851,0
649.299,-0.22
649.747,0.03
650.194,3.31
650.642,2.56
651.089,-0.05
651.537,-0.42
651.984,2.46
652.431,1.41
652.879,1.85
653.326,0.1
653.773,2.75
654.221,4.85
654.668,-1
655.115,2.88
655.562,-1.17
656.01,1.93
656.457,2.28
656.904,0.65
657.351,1.83
657.798,0.8
658.245,1.11
658.692,0.31
659.139,0.66
659.586,3.58
660.033,1.38
660.48,2.26
660.927,1.52
661.374,-1
661.821,2.9
662.268,1.69
662.715,0.13
663.162,2.21
663.608,3.04
664.055,0.61
664.502,2.86
664.949,0.59
665.395,1.74
665.842,1.31
666.289,1.19
666.735,1.19
667.182,2.17
667.629,2.17
668.075,4.14
668.522,0.62
668.968,1.84
669.415,1.42
669.861,0.67
670.308,1.5
670.754,0.61
671.2,1.25
671.647,2.84
672.093,1.11
672.539,1.37
672.986,1.27
673.432,1.69
673.878,2.37
674.324,2.54
674.771,4.63
675.217,2.45
675.663,2.03
676.109,3.29
676.555,4.94
677.001,3.56
677.447,1.91
677.893,2.88
678.339,4.64
678.785,2.71
679.231,0.5
679.677,3.42
680.123,3.44
680.569,3.41
681.015,6.14
681.461,6.21
681.907,5.51
682.353,6
682.798,5.2
683.244,6.2
683.69,3.88
684.135,4.53
684.581,6.74
685.027,4.79
685.472,5.13
685.918,5.64
686.364,4.5
686.809,7.61
687.255,5.87
687.7,7.84
688.146,7.63
688.591,7.2
689.037,8.62
689.482,8.2
689.928,8.64
690.373,9.59
690.818,9.9
691.264,8.39
691.709,10.52
692.154,8.12
692.6,10.99
693.045,9.63
693.49,11.46
693.935,11.61
694.38,11.78
694.825,11.53
695.271,14.54
695.716,10.59
696.161,12.57
696.606,13.84
697.051,14.22
697.496,14.81
697.941,14.07
698.386,16.43
698.831,17.4
699.276,17.78
699.721,18.93
700.165,19.32
700.61,18.19
701.055,21.75
701.5,21.21
701.945,22.12
702.389,23.33
702.834,21.16
703.279,22.84
703.724,23.28
704.168,26.27
704.613,27.77
705.058,26.93
705.502,28.7
705.947,30.3
706.391,32.41
706.836,33.73
707.28,32.11
707.725,34.53
708.169,37.04
708.614,37.17
709.058,39.34
709.502,38.38
709.947,43.21
710.391,44.6
710.835,44.46
711.28,45.39
711.724,47.82
712.168,52.05
712.613,52.2
713.057,52.18
713.501,57.34
713.945,57.38
714.389,59.01
714.833,60.8
715.277,64.43
715.722,64.94
716.166,67.73
716.61,70.67
717.054,73.63
717.498,75.16
717.942,78.03
718.385,81.91
718.829,83.51
719.273,86.53
719.717,91.67
720.161,94.07
720.605,96.8
721.049,103.9
721.492,104.7
721.936,110.07
722.38,111.84
722.824,117.63
723.267,121.24
723.711,124.01
724.155,130.7
724.598,135.04
725.042,136.65
725.485,144.66
725.929,148.54
726.372,153.01
726.816,159.83
727.259,166.21
727.703,170.6
728.146,176.24
728.59,183.99
729.033,190.57
729.476,200.31
729.92,205.88
730.363,212.03
730.806,222.09
731.25,226.22
731.693,233.49
732.136,244.11
732.579,251.39
733.023,261.04
733.466,270.12
733.909,280.77
734.352,289.7
734.795,302.57
735.238,306.34
735.681,318.65
736.124,331.05
736.567,344.14
737.01,358.66
737.453,368.43
737.896,381.91
738.339,394.26
738.782,405.65
739.225,419.56
739.668,433.89
740.111,448.4
740.553,460.36
740.996,477.87
741.439,494.92
741.882,508.67
742.325,523.1
742.767,541.95
743.21,554.23
743.653,574.15
744.095,594.67
744.538,611.91
744.98,627.38
745.423,645.11
745.866,666.38
746.308,685.28
746.751,704.94
747.193,723.48
747.635,745.4
748.078,761.14
748.52,786.27
748.963,806.11
749.405,827.51
749.847,853.16
750.29,873.52
750.732,893.49
751.174,922.51
751.617,943.87
752.059,969.44
752.501,989.58
752.943,1010.95
753.385,1036.4
753.828,1053.08
754.27,1078.79
754.712,1102.83
755.154,1114.6
755.596,1150.8
756.038,1165.19
756.48,1190.96
756.922,1204.57
757.364,1220.38
757.806,1236.37
758.248,1253.57
758.69,1268.43
759.132,1277.2
759.574,1296.69
760.016,1305.17
760.457,1314.33
760.899,1334.68
761.341,1339.84
761.783,1339.44
762.224,1350.51
762.666,1359.4
763.108,1354.04
763.55,1366.53
763.991,1364.83
764.433,1363.98
764.874,1353.87
765.316,1359.1
765.758,1352.05
766.199,1338.84
766.641,1329.95
767.082,1318.85
767.524,1310.23
767.965,1302.85
768.407,1291.82
768.848,1266.52
769.289,1254.05
769.731,1241.22
770.172,1221.89
770.613,1204.02
771.055,1185.53
771.496,1155.54
771.937,1141.31
772.379,1120.09
772.82,1097.72
773.261,1075.13
773.702,1053.71
774.143,1031.87
774.584,1010.37
775.026,984.89
775.467,958.9
775.908,944.69
776.349,917.09
776.79,896.87
777.231,870.42
777.672,848.55
778.113,834.18
778.554,805.16
778.995,788.49
779.436,767.52
779.876,745.64
780.317,730.49
780.758,706.27
781.199,691.91
781.64,670.85
782.081,651.37
782.521,631.98
782.962,612.47
783.403,596.58
783.843,582.04
784.284,567.84
784.725,551.38
785.165,535.24
785.606,524.16
786.047,508.38
786.487,494.02
786.928,476.38
787.368,465.33
787.809,454.3
788.249,440.79
788.69,432.88
789.13,415.2
789.571,402.96
790.011,394.3
790.451,384.73
790.892,374.46
791.332,363.38
791.772,353.38
792.213,342.17
792.653,332.48
793.093,321.02
793.533,314.92
793.974,306.34
794.414,297.95
794.854,290.47
795.294,282.13
795.734,275.78
796.174,265.62
796.614,257.13
797.054,248.86
797.494,245.17
797.934,237.84
798.374,231.66
798.814,224.07
799.254,218.23
799.694,214.71
800.134,206.4
800.574,204.08
801.014,195.35
801.454,188.96
801.894,183.17
802.334,179.62
802.773,172.94
803.213,170.37
803.653,162.46
804.093,156.74
804.532,154.48
804.972,150.11
805.412,143.91
805.851,139.82
806.291,138.72
806.731,136.78
807.17,130.07
807.61,125.06
808.049,120.06
808.489,119.1
808.928,114.6
809.368,110.32
809.807,106.71
810.247,104.07
810.686,98.87
811.125,98.21
811.565,96.11
812.004,92.94
812.444,90.42
812.883,85.37
813.322,83.74
813.761,81.17
814.201,78.58
814.64,76.48
815.079,71.09
815.518,69.48
815.958,69.99
816.397,63.7
816.836,64.46
817.275,62.39
817.714,59.47
818.153,58.42
818.592,54.87
819.031,53.5
819.47,55.13
819.909,49.68
820.348,51.04
820.787,48.18
821.226,46.27
821.665,44.4
822.104,44.69
822.543,43.1
822.982,39.23
823.42,39.6
823.859,38.81
824.298,37.5
824.737,34.57
825.176,36.3
825.614,35.76
826.053,32.62
826.492,32.93
826.93,31.11
827.369,30.29
827.808,27.59
828.246,27.37
828.685,26.26
829.123,25.85
829.562,26.09
830,24.26
830.439,24.88
830.877,24.11
831.316,20.79
831.754,21.48
832.193,21.21
832.631,17.39
833.07,20.29
833.508,19.53
833.946,18.05
834.385,17.57
834.823,16.8
835.261,16.7
835.7,17.56
836.138,15.22
836.576,16.82
837.014,17.22
837.452,12.46
837.891,13.28
838.329,12.05
838.767,12.21
839.205,11.49
839.643,10.7
840.081,13.64
840.519,11.13
840.957,11.23
841.395,11.36
841.833,11.03
842.271,11.43
842.709,11.37
843.147,11.25
843.585,10.96
844.023,9.26
844.461,10.68
844.899,9.26
845.336,9.89
845.774,6.79
846.212,7.91
846.65,7.11
847.088,9.21
847.525,6.21
847.963,7.17
848.401,7.65
848.838,4.76
849.276,6.25
849.714,7.63
850.151,6.48
850.589,7.58
851.026,5.33
851.464,4.1
851.902,4.62
852.339,3.58
852.777,5.14
853.214,3.95
853.651,4.14
854.089,5.98
854.526,3.23
854.964,6.44
855.401,4.65
855.838,2.84
856.276,6.05
856.713,4.53
857.15,5.05
857.588,3.47
858.025,2.42
858.462,2.45
858.899,3.08
859.337,3.09
859.774,0.72
860.211,2.39
860.648,2.07
861.085,2.57
861.522,0.78
861.959,3.01
862.397,3.3
862.834,4.04
863.271,2
863.708,0.8
864.145,3.81
864.582,3.25
865.019,3.31
865.456,3.76
865.892,1.99
866.329,2.1
866.766,2.94
867.203,4.08
867.64,2.37
868.077,2.88
868.514,0.51
868.95,3.23
869.387,2.1
869.824,2.71
870.261,3.23
870.697,4.37
871.134,0.44
871.571,1.15
872.007,2.5
872.444,0.71
872.88,2.87
873.317,2.07
873.754,0.58
874.19,3.14
874.627,1.09
875.063,1.16
875.5,2.64
875.936,1.06
876.373,-0.24
876.809,2.04
877.246,1.4
877.682,1.62
878.118,1.83
878.555,0.81
878.991,1
879.427,3.38
879.864,1.51
880.3,3.59
880.736,2.08
881.172,2.1
881.609,2.18
882.045,1.41
882.481,0.74
882.917,0.59
883.353,1.24
883.79,1.81
884.226,1.88
884.662,2.96
885.098,3.14
885.534,1.71
885.97,1.68
886.406,3.41
886.842,1.66
887.278,2.91
887.714,0.91
888.15,1.44
888.586,-0.74
889.022,-1.29
889.458,1.9
889.893,1.36
890.329,-0.11
890.765,0.6
891.201,0.74
891.637,-0.4
892.073,0.27
892.508,-0.41
892.944,1.21
893.38,1.37
893.816,2.39
894.251,1.78
894.687,2.28
895.123,-0.9
895.558,2.89
895.994,0.13
896.429,2.74
